block,position,pop,ind,Floral,FlStart,#FloralShoots,Remarks
13,2,22,66,1,16-Jun,1,
13,3,12,66,1,16-Jun,1,
13,4,9,67,1,23-Jun,1,
13,5,23,64,1,20-Jun,1,
13,6,20,68,1,16-Jun,1,
13,7,17,73,1,13-Jun,1,
13,8,3,70,1,13-Jun,3,
13,9,1,63,1,16-Jun,1,
13,10,24,64,1,5-Jul,1,
13,11,15,63,1,20-Jun,1,
13,12,8,68,1,20-Jun,1,
13,13,5,67,1,13-Jun,2,
13,14,10,76,1,13-Jun,2,
13,15,6,74,1,13-Jun,2,
13,16,7,66,1,13-Jun,1,
13,17,4,64,1,13-Jun,1,
13,18,14,63,1,9-Jun,1,
13,19,2,79,0,,,
13,20,18,65,1,13-Jun,1,
13,21,21,69,1,16-Jun,1,
13,22,16,70,1,23-Jun,2,
13,23,11,64,1,9-Jun,1,
14,1,5,68,1,13-Jun,1,
14,2,15,64,1,20-Jun,1,
14,3,6,75,1,9-Jun,2,
14,4,4,65,1,13-Jun,1,
14,5,1,64,1,13-Jun,1,
14,6,23,66,1,20-Jun,1,
14,7,11,65,1,7-Jun,1,
14,8,3,72,1,13-Jun,1,
14,9,2,81,1,9-Jun,1,
14,10,19,66,1,8-Jul,1,
14,11,16,71,1,23-Jun,1,
14,12,22,67,1,27-Jun,1,
14,13,9,68,1,20-Jun,1,
14,14,17,74,1,13-Jun,1,
14,15,21,70,1,16-Jun,2,
14,16,24,65,1,23-Jun,1,
14,17,20,69,1,13-Jun,1,
14,18,10,95,1,16-Jun,1,
14,19,14,64,1,13-Jun,1,
14,20,12,67,1,13-Jun,1,
14,21,13,66,1,16-Jun,1,
14,22,7,67,1,9-Jun,1,
14,23,8,69,1,20-Jun,1,
14,24,18,66,1,16-Jun,1,
15,1,9,70,1,23-Jun,1,
15,2,19,67,1,27-Jun,1,
15,3,17,75,1,13-Jun,1,
15,4,3,74,1,20-Jun,1,
15,5,5,69,1,27-Jun,5,
15,6,23,67,1,9-Jun,3,
15,7,13,67,1,23-Jun,1,
15,8,8,70,1,16-Jun,2,
15,9,6,77,1,13-Jun,1,
15,10,1,65,1,13-Jun,2,
15,11,11,66,1,13-Jun,2,
15,12,4,68,1,9-Jun,1,
15,13,22,68,1,13-Jun,1,
15,14,7,68,1,7-Jun,1,
15,15,12,68,1,16-Jun,1,
15,16,2,82,1,13-Jun,1,
15,17,15,65,1,13-Jun,1,
15,18,16,72,1,16-Jun,1,
15,19,24,66,1,5-Jul,1,
15,20,18,67,1,13-Jun,1,
15,21,20,70,1,9-Jun,1,
15,22,21,71,1,16-Jun,1,
16,1,4,69,0,,,
16,2,6,78,1,16-Jun,1,
16,3,3,75,1,16-Jun,1,
16,4,2,83,1,9-Jun,1,
16,5,18,68,1,20-Jun,1,
16,6,13,68,1,20-Jun,1,
16,7,8,71,1,13-Jun,1,
16,8,5,70,1,20-Jun,1,
16,9,17,80,1,9-Jun,1,
16,10,19,68,1,27-Jun,1,
16,11,9,71,1,20-Jun,2,
16,12,22,69,1,27-Jun,1,
16,13,16,74,1,20-Jul,1,
16,14,21,72,1,16-Jun,1,
16,15,10,79,1,23-Jun,1,
16,16,14,66,1,31-May,1,
16,17,7,69,1,13-Jun,1,
16,18,20,71,0,,,
16,19,11,67,1,7-Jun,1,
16,20,24,67,1,5-Jul,1,
16,21,23,68,1,9-Jun,2,
16,22,15,66,0,,,
16,23,12,69,0,,,
17,1,11,68,1,13-Jun,1,
17,2,22,70,1,13-Jun,1,
17,3,13,69,1,20-Jun,1,
17,4,3,76,1,13-Jun,1,
17,5,24,68,1,23-Jun,1,
17,6,15,67,1,13-Jun,2,
17,7,20,72,0,,,
17,8,7,70,1,13-Jun,2,
17,9,8,72,1,7-Jun,2,
17,10,17,83,1,13-Jun,1,
17,11,18,69,1,13-Jun,2,
17,12,9,72,1,16-Jun,1,
17,13,10,81,1,20-Jun,1,
17,14,6,80,1,9-Jun,1,
17,15,5,71,1,16-Jun,1,
17,16,12,70,1,7-Jun,2,
17,17,16,75,1,20-Jun,1,
17,18,14,67,1,7-Jun,1,
17,19,23,69,1,16-Jun,2,
17,20,1,68,1,16-Jun,1,
17,21,4,70,1,9-Jun,1,
17,22,21,73,1,16-Jun,1,
17,23,19,69,1,23-Jun,1,
18,1,19,70,1,23-Jun,1,
18,2,24,69,1,5-Jul,1,
18,3,5,72,1,16-Jun,1,
18,4,6,82,1,7-Jun,1,
18,5,18,70,1,13-Jun,1,
18,6,22,71,0,,,
18,7,16,76,1,16-Jun,1,
18,8,9,73,1,27-Jun,1,
18,9,15,81,0,,,
18,10,14,68,1,3-Jun,2,
18,11,17,85,1,7-Jun,1,
18,12,21,74,1,23-Jun,1,
18,13,10,82,1,27-Jun,1,
18,14,2,85,1,7-Jun,1,
18,15,11,69,1,31-May,2,
18,16,3,77,1,13-Jun,4,
18,17,20,73,1,13-Jun,2,
18,18,12,71,1,7-Jun,1,
18,19,4,71,0,,,
18,20,1,69,0,,,
18,21,8,73,1,13-Jun,3,
18,22,13,70,1,13-Jun,1,
18,23,23,70,0,,,
18,24,7,71,1,13-Jun,1,
19,1,16,77,1,23-Jun,1,
19,2,1,70,1,16-Jun,1,
19,3,11,71,1,16-Jun,2,
19,4,20,74,1,13-Jun,1,
19,5,14,69,1,9-Aug,1,
19,6,12,72,1,16-Jun,1,
19,7,17,86,1,16-Jun,2,
19,8,23,71,1,20-Jun,2,
19,9,9,74,1,20-Jun,1,
